chem_id,smiles,M,T
chemical_001_1,O,18.015,0
chemical_001_2,O,18.015,10
chemical_001_3,O,18.015,20
chemical_001_4,O,18.015,30
chemical_002_1,CO,32.04,-10
chemical_002_2,CO,32.04,0
chemical_002_3,CO,32.04,10
chemical_002_4,CO,32.04,20
chemical_002_5,CO,32.04,30
chemical_003_1,CCO,46.07,-10
chemical_003_2,CCO,46.07,0
chemical_003_3,CCO,46.07,10
chemical_003_4,CCO,46.07,20
chemical_003_5,CCO,46.07,30
chemical_004_1,CCCO,60.1,-10
chemical_004_2,CCCO,60.1,0
chemical_004_3,CCCO,60.1,10
chemical_004_4,CCCO,60.1,20
chemical_004_5,CCCO,60.1,30
chemical_005_1,CC(O)C,60.1,-10
chemical_005_2,CC(O)C,60.1,0
chemical_005_3,CC(O)C,60.1,10
chemical_005_4,CC(O)C,60.1,20
chemical_005_5,CC(O)C,60.1,30
chemical_006_1,CCCCO,741.2,-10
chemical_006_2,CCCCO,741.2,0
chemical_006_3,CCCCO,741.2,10
chemical_006_4,CCCCO,741.2,20
chemical_006_5,CCCCO,741.2,30
chemical_007_1,CCC(O)C,741.2,-10
chemical_007_2,CCC(O)C,741.2,0
chemical_007_3,CCC(O)C,741.2,10
chemical_007_4,CCC(O)C,741.2,20
chemical_007_5,CCC(O)C,741.2,30
chemical_008_1,CC(C)(C)O,741.2,30
chemical_009_1,CC(=O)C,58.08,-10
chemical_009_2,CC(=O)C,58.08,0
chemical_009_3,CC(=O)C,58.08,10
chemical_009_4,CC(=O)C,58.08,20
chemical_009_5,CC(=O)C,58.08,30
chemical_010_1,CCC(=O)C,72.11,-10
chemical_010_2,CCC(=O)C,72.11,0
chemical_010_3,CCC(=O)C,72.11,10
chemical_010_4,CCC(=O)C,72.11,20
chemical_010_5,CCC(=O)C,72.11,30
chemical_011_1,CCCC(=O)C,86.13,-10
chemical_011_2,CCCC(=O)C,86.13,0
chemical_011_3,CCCC(=O)C,86.13,10
chemical_011_4,CCCC(=O)C,86.13,20
chemical_011_5,CCCC(=O)C,86.13,30
chemical_012_1,CCC(=O)CC,86.13,-10
chemical_012_2,CCC(=O)CC,86.13,0
chemical_012_3,CCC(=O)CC,86.13,10
chemical_012_4,CCC(=O)CC,86.13,20
chemical_012_5,CCC(=O)CC,86.13,30
chemical_013_1,CCCCC(=O)C,100.16,-10
chemical_013_2,CCCCC(=O)C,100.16,0
chemical_013_3,CCCCC(=O)C,100.16,10
chemical_013_4,CCCCC(=O)C,100.16,20
chemical_013_5,CCCCC(=O)C,100.16,30
chemical_014_1,CCCC(=O)CC,100.16,-10
chemical_014_2,CCCC(=O)CC,100.16,0
chemical_014_3,CCCC(=O)CC,100.16,10
chemical_014_4,CCCC(=O)CC,100.16,20
chemical_014_5,CCCC(=O)CC,100.16,30
chemical_015_1,CCCCC,72.15,-10
chemical_015_2,CCCCC,72.15,0
chemical_015_3,CCCCC,72.15,10
chemical_015_4,CCCCC,72.15,20
chemical_015_5,CCCCC,72.15,30
chemical_016_1,CCCCCC,86.18,-10
chemical_016_2,CCCCCC,86.18,0
chemical_016_3,CCCCCC,86.18,10
chemical_016_4,CCCCCC,86.18,20
chemical_016_5,CCCCCC,86.18,30
chemical_017_1,CCCCCCC,100.21,-10
chemical_017_2,CCCCCCC,100.21,0
chemical_017_3,CCCCCCC,100.21,10
chemical_017_4,CCCCCCC,100.21,20
chemical_017_5,CCCCCCC,100.21,30
chemical_018_1,CCCCCCCC,114.23,-10
chemical_018_2,CCCCCCCC,114.23,0
chemical_018_3,CCCCCCCC,114.23,10
chemical_018_4,CCCCCCCC,114.23,20
chemical_018_5,CCCCCCCC,114.23,30
chemical_019_1,C1=CC=CC=C1,78.11,-10
chemical_019_2,C1=CC=CC=C1,78.11,0
chemical_019_3,C1=CC=CC=C1,78.11,10
chemical_019_4,C1=CC=CC=C1,78.11,20
chemical_019_5,C1=CC=CC=C1,78.11,30
chemical_020_1,CC1=CC=CC=C1,92.14,-10
chemical_020_2,CC1=CC=CC=C1,92.14,0
chemical_020_3,CC1=CC=CC=C1,92.14,10
chemical_020_4,CC1=CC=CC=C1,92.14,20
chemical_020_5,CC1=CC=CC=C1,92.14,30
chemical_021_1,CC1=C(C)C=CC=C1,106.17,-10
chemical_021_2,CC1=C(C)C=CC=C1,106.17,0
chemical_021_3,CC1=C(C)C=CC=C1,106.17,10
chemical_021_4,CC1=C(C)C=CC=C1,106.17,20
chemical_021_5,CC1=C(C)C=CC=C1,106.17,30
chemical_022_1,CC1=CC(C)=CC=C1,106.17,-10
chemical_022_2,CC1=CC(C)=CC=C1,106.17,0
chemical_022_3,CC1=CC(C)=CC=C1,106.17,10
chemical_022_4,CC1=CC(C)=CC=C1,106.17,20
chemical_022_5,CC1=CC(C)=CC=C1,106.17,30
chemical_023_1,CC1=CC=C(C)C=C1,106.17,20
chemical_023_2,CC1=CC=C(C)C=C1,106.17,30
chemical_024_1,CC1=CC(C)=CC(C)=C1,120.19,-10
chemical_024_2,CC1=CC(C)=CC(C)=C1,120.19,0
chemical_024_3,CC1=CC(C)=CC(C)=C1,120.19,10
chemical_024_4,CC1=CC(C)=CC(C)=C1,120.19,20
chemical_024_5,CC1=CC(C)=CC(C)=C1,120.19,30
chemical_025_1,CCOCC,74.12,-10
chemical_025_2,CCOCC,74.12,0
chemical_025_3,CCOCC,74.12,10
chemical_025_4,CCOCC,74.12,20
chemical_025_5,CCOCC,74.12,30
chemical_026_1,C1CCCO1,72.11,-10
chemical_026_2,C1CCCO1,72.11,0
chemical_026_3,C1CCCO1,72.11,10
chemical_026_4,C1CCCO1,72.11,20
chemical_026_5,C1CCCO1,72.11,30
chemical_027_1,ClC(Cl)Cl,119.38,-10
chemical_027_2,ClC(Cl)Cl,119.38,0
chemical_027_3,ClC(Cl)Cl,119.38,10
chemical_027_4,ClC(Cl)Cl,119.38,20
chemical_027_5,ClC(Cl)Cl,119.38,30
chemical_028_1,ClCCl,84.93,-10
chemical_028_2,ClCCl,84.93,0
chemical_028_3,ClCCl,84.93,10
chemical_028_4,ClCCl,84.93,20
chemical_028_5,ClCCl,84.93,30
chemical_029_1,NC1=CC=CC=C1,93.13,0
chemical_029_2,NC1=CC=CC=C1,93.13,10
chemical_029_3,NC1=CC=CC=C1,93.13,20
chemical_029_4,NC1=CC=CC=C1,93.13,30
chemical_030_1,C1=CC=CC=N1,79.1,-10
chemical_030_2,C1=CC=CC=N1,79.1,0
chemical_030_3,C1=CC=CC=N1,79.1,10
chemical_030_4,C1=CC=CC=N1,79.1,20
chemical_030_5,C1=CC=CC=N1,79.1,30
chemical_031_1,CC=O,44.05,-10
chemical_031_2,CC=O,44.05,0
chemical_031_3,CC=O,44.05,10
chemical_031_4,CC=O,44.05,20
chemical_032_1,CC(=O)O,60.05,20
chemical_032_2,CC(=O)O,60.05,30
chemical_033_1,CC(=O)c1ccccc1,120.15,20
chemical_033_2,CC(=O)c1ccccc1,120.15,30
chemical_034_1,CC(=O)Br,122.95,-10
chemical_034_2,CC(=O)Br,122.95,0
chemical_034_3,CC(=O)Br,122.95,10
chemical_034_4,CC(=O)Br,122.95,20
chemical_034_5,CC(=O)Br,122.95,30
chemical_035_1,CC(=O)Cl,78.5,-10
chemical_035_2,CC(=O)Cl,78.5,0
chemical_035_3,CC(=O)Cl,78.5,10
chemical_035_4,CC(=O)Cl,78.5,20
chemical_035_5,CC(=O)Cl,78.5,30
chemical_036_1,CC(=O)F,62.05,-10
chemical_037_1,CC(=O)I,169.95,-10
chemical_037_2,CC(=O)I,169.95,0
chemical_037_3,CC(=O)I,169.95,10
chemical_037_4,CC(=O)I,169.95,20
chemical_037_5,CC(=O)I,169.95,30
chemical_038_1,C=CC=O,56.06,-10
chemical_038_2,C=CC=O,56.06,0
chemical_038_3,C=CC=O,56.06,10
chemical_038_4,C=CC=O,56.06,20
chemical_038_5,C=CC=O,56.06,30
chemical_039_1,C=CC(=O)O,72.06,20
chemical_039_2,C=CC(=O)O,72.06,30
chemical_040_1,C=CC#N,53.06,-10
chemical_040_2,C=CC#N,53.06,0
chemical_040_3,C=CC#N,53.06,10
chemical_040_4,C=CC#N,53.06,20
chemical_040_5,C=CC#N,53.06,30
chemical_041_1,C=CCCO,58.08,-10
chemical_041_2,C=CCCO,58.08,0
chemical_041_3,C=CCCO,58.08,10
chemical_041_4,C=CCCO,58.08,20
chemical_041_5,C=CCCO,58.08,30
chemical_042_1,C=CCCN,57.09,-10
chemical_042_2,C=CCCN,57.09,0
chemical_042_3,C=CCCN,57.09,10
chemical_042_4,C=CCCN,57.09,20
chemical_042_5,C=CCCN,57.09,30
chemical_043_1,C=CCOCC,86.13,-10
chemical_043_2,C=CCOCC,86.13,0
chemical_043_3,C=CCOCC,86.13,10
chemical_043_4,C=CCOCC,86.13,20
