chem_id,theta_log_Psat
chemical_001_1,2.78604121
chemical_001_2,3.089198367
chemical_001_3,3.369030222
chemical_001_4,3.627877695
chemical_002_1,3.32756326
chemical_002_2,3.615107987
chemical_002_3,3.878349422
chemical_002_4,4.11961875
chemical_002_5,4.343250998
chemical_003_1,3.197280558
chemical_003_2,3.491781776
chemical_003_3,3.765445018
chemical_003_4,4.022593314
chemical_003_5,4.265831566
chemical_004_1,2.532754379
chemical_004_2,2.872156273
chemical_004_3,3.192009593
chemical_004_4,3.490099005
chemical_004_5,3.767230098
chemical_005_1,2.758154622
chemical_005_2,3.084576278
chemical_005_3,3.390051496
chemical_005_4,3.67651071
chemical_005_5,3.944680034
chemical_006_1,1.707570176
chemical_006_2,2.093421685
chemical_006_3,2.456366033
chemical_006_4,2.794488047
chemical_006_5,3.109915863
chemical_007_1,2.096910013
chemical_007_2,2.492760389
chemical_007_3,2.859138297
chemical_007_4,3.19893187
chemical_007_5,3.515211304
chemical_008_1,3.876794976
chemical_009_1,3.73271534
chemical_009_2,3.975431809
chemical_009_3,4.227115083
chemical_009_4,4.458637849
chemical_009_5,4.670709595
chemical_010_1,3.195899652
chemical_010_2,3.495544338
chemical_010_3,3.767897616
chemical_010_4,4.021189299
chemical_010_5,4.240549248
chemical_011_1,2.653212514
chemical_011_2,2.982271233
chemical_011_3,3.285557309
chemical_011_4,3.568201724
chemical_011_5,3.819543936
chemical_012_1,2.591064607
chemical_012_2,2.934498451
chemical_012_3,3.247973266
chemical_012_4,3.537819095
chemical_012_5,3.797959644
chemical_013_1,2.079181246
chemical_013_2,2.447158031
chemical_013_3,2.785329835
chemical_013_4,3.096910013
chemical_013_5,3.376576957
chemical_014_1,2.161368002
chemical_014_2,2.51851394
chemical_014_3,2.851258349
chemical_014_4,3.158362492
chemical_014_5,3.436162647
chemical_015_1,4.198657087
chemical_015_2,4.387389826
chemical_015_3,4.561101384
chemical_015_4,4.726727209
chemical_015_5,4.875639937
chemical_016_1,3.579783597
chemical_016_2,3.785329835
chemical_016_3,3.986771734
chemical_016_4,4.209515015
chemical_016_5,4.399673721
chemical_017_1,2.963787827
chemical_017_2,3.206825876
chemical_017_3,3.444044796
chemical_017_4,3.681241237
chemical_017_5,3.900367129
chemical_018_1,2.342422681
chemical_018_2,2.62324929
chemical_018_3,2.892094603
chemical_018_4,3.149219113
chemical_018_5,3.392696953
chemical_019_1,3.079181246
chemical_019_2,3.301029996
chemical_019_3,3.51851394
chemical_019_4,3.716003344
chemical_019_5,3.903089987
chemical_020_1,2.812913357
chemical_020_2,3.079181246
chemical_020_3,3.322219295
chemical_020_4,3.544068044
chemical_020_5,3.748188027
chemical_021_1,2.079181246
chemical_021_2,2.397940009
chemical_021_3,2.681241237
chemical_021_4,2.944482672
chemical_021_5,3.190331698
chemical_022_1,2.230448921
chemical_022_2,2.531478917
chemical_022_3,2.806179974
chemical_022_4,3.06069784
chemical_022_5,3.303196057
chemical_023_1,3.064457989
chemical_023_2,3.311753861
chemical_024_1,1.544068044
chemical_024_2,1.929418926
chemical_024_3,2.243038049
chemical_024_4,2.51851394
chemical_024_5,2.792391689
chemical_025_1,4.206825876
chemical_025_2,4.399673721
chemical_025_3,4.580924976
