chem_id,theta_log_Psat
chemical_001_1,2.7860
chemical_001_2,3.0892
chemical_001_3,3.3690
chemical_001_4,3.6279
chemical_002_1,3.3276
chemical_002_2,3.6151
chemical_002_3,3.8783
chemical_002_4,4.1196
chemical_002_5,4.3433
chemical_003_1,3.1973
chemical_003_2,3.4918
chemical_003_3,3.7654
chemical_003_4,4.0226
chemical_003_5,4.2658
chemical_004_1,2.5328
chemical_004_2,2.8722
chemical_004_3,3.1920
chemical_004_4,3.4901
chemical_004_5,3.7672
chemical_005_1,2.7582
chemical_005_2,3.0846
chemical_005_3,3.3901
chemical_005_4,3.6765
chemical_005_5,3.9447
chemical_006_1,1.7076
chemical_006_2,2.0934
chemical_006_3,2.4564
chemical_006_4,2.7945
chemical_006_5,3.1099
chemical_007_1,2.0969
chemical_007_2,2.4928
chemical_007_3,2.8591
chemical_007_4,3.1989
chemical_007_5,3.5152
chemical_008_1,3.8768
chemical_009_1,3.7327
chemical_009_2,3.9754
chemical_009_3,4.2271
chemical_009_4,4.4586
chemical_009_5,4.6707
chemical_010_1,3.1959
chemical_010_2,3.4955
chemical_010_3,3.7679
chemical_010_4,4.0212
chemical_010_5,4.2405
chemical_011_1,2.6532
chemical_011_2,2.9823
chemical_011_3,3.2856
chemical_011_4,3.5682
chemical_011_5,3.8195
chemical_012_1,2.5911
chemical_012_2,2.9345
chemical_012_3,3.2480
chemical_012_4,3.5378
chemical_012_5,3.7980
chemical_013_1,2.0792
chemical_013_2,2.4472
chemical_013_3,2.7853
chemical_013_4,3.0969
chemical_013_5,3.3766
chemical_014_1,2.1614
chemical_014_2,2.5185
chemical_014_3,2.8513
chemical_014_4,3.1584
chemical_014_5,3.4362
chemical_015_1,4.1987
chemical_015_2,4.3874
chemical_015_3,4.5611
chemical_015_4,4.7267
chemical_015_5,4.8756
chemical_016_1,3.5798
chemical_016_2,3.7853
chemical_016_3,3.9868
chemical_016_4,4.2095
chemical_016_5,4.3997
chemical_017_1,2.9638
chemical_017_2,3.2068
chemical_017_3,3.4440
chemical_017_4,3.6812
chemical_017_5,3.9004
chemical_018_1,2.3424
chemical_018_2,2.6232
chemical_018_3,2.8921
chemical_018_4,3.1492
chemical_018_5,3.3927
chemical_019_1,3.0792
chemical_019_2,3.3010
chemical_019_3,3.5185
chemical_019_4,3.7160
chemical_019_5,3.9031
chemical_020_1,2.8129
chemical_020_2,3.0792
chemical_020_3,3.3222
chemical_020_4,3.5441
chemical_020_5,3.7482
chemical_021_1,2.0792
chemical_021_2,2.3979
chemical_021_3,2.6812
chemical_021_4,2.9445
chemical_021_5,3.1903
chemical_022_1,2.2304
chemical_022_2,2.5315
chemical_022_3,2.8062
chemical_022_4,3.0607
chemical_022_5,3.3032
chemical_023_1,3.0645
chemical_023_2,3.3118
chemical_024_1,1.5441
chemical_024_2,1.9294
chemical_024_3,2.2430
chemical_024_4,2.5185
chemical_024_5,2.7924
chemical_025_1,4.2068
chemical_025_2,4.3997
chemical_025_3,4.5809
chemical_025_4,4.7505
chemical_025_5,4.9096
chemical_026_1,3.6532
chemical_026_2,3.8865
chemical_026_3,4.0969
chemical_026_4,4.2856
chemical_026_5,4.4639
chemical_027_1,3.7404
chemical_027_2,3.9731
chemical_027_3,4.1847
chemical_027_4,4.3243
chemical_027_5,4.5105
chemical_028_1,4.1703
chemical_028_2,4.3692
chemical_028_3,4.5465
chemical_028_4,4.6758
chemical_028_5,4.8463
chemical_029_1,1.3010
chemical_029_2,1.5051
chemical_029_3,1.6021
chemical_029_4,1.9542
chemical_030_1,2.6532
chemical_030_2,2.9542
chemical_030_3,3.2175
chemical_030_4,3.4314
chemical_030_5,3.6435
chemical_031_1,4.6128
chemical_031_2,4.7782
chemical_031_3,4.9542
chemical_031_4,5.1139
chemical_032_1,3.1761
chemical_032_2,3.6232
chemical_033_1,1.4771
chemical_033_2,1.8451
chemical_034_1,3.3979
chemical_034_2,3.6532
chemical_034_3,3.9031
