chem_id,smiles,T
chemical_001_1,O,0
chemical_001_2,O,10
chemical_001_3,O,20
chemical_001_4,O,30
chemical_002_1,CO,-10
chemical_002_2,CO,0
chemical_002_3,CO,10
chemical_002_4,CO,20
chemical_002_5,CO,30
chemical_003_1,CCO,-10
chemical_003_2,CCO,0
chemical_003_3,CCO,10
chemical_003_4,CCO,20
chemical_003_5,CCO,30
chemical_004_1,CCCO,-10
chemical_004_2,CCCO,0
chemical_004_3,CCCO,10
chemical_004_4,CCCO,20
chemical_004_5,CCCO,30
chemical_005_1,CC(O)C,-10
chemical_005_2,CC(O)C,0
chemical_005_3,CC(O)C,10
chemical_005_4,CC(O)C,20
chemical_005_5,CC(O)C,30
chemical_006_1,CCCCO,-10
chemical_006_2,CCCCO,0
chemical_006_3,CCCCO,10
chemical_006_4,CCCCO,20
chemical_006_5,CCCCO,30
chemical_007_1,CCC(O)C,-10
chemical_007_2,CCC(O)C,0
chemical_007_3,CCC(O)C,10
chemical_007_4,CCC(O)C,20
chemical_007_5,CCC(O)C,30
chemical_008_1,CC(C)(C)O,30
chemical_009_1,CC(=O)C,-10
chemical_009_2,CC(=O)C,0
chemical_009_3,CC(=O)C,10
chemical_009_4,CC(=O)C,20
chemical_009_5,CC(=O)C,30
chemical_010_1,CCC(=O)C,-10
chemical_010_2,CCC(=O)C,0
chemical_010_3,CCC(=O)C,10
chemical_010_4,CCC(=O)C,20
chemical_010_5,CCC(=O)C,30
chemical_011_1,CCCC(=O)C,-10
chemical_011_2,CCCC(=O)C,0
chemical_011_3,CCCC(=O)C,10
chemical_011_4,CCCC(=O)C,20
chemical_011_5,CCCC(=O)C,30
chemical_012_1,CCC(=O)CC,-10
chemical_012_2,CCC(=O)CC,0
chemical_012_3,CCC(=O)CC,10
chemical_012_4,CCC(=O)CC,20
chemical_012_5,CCC(=O)CC,30
chemical_013_1,CCCCC(=O)C,-10
chemical_013_2,CCCCC(=O)C,0
chemical_013_3,CCCCC(=O)C,10
chemical_013_4,CCCCC(=O)C,20
chemical_013_5,CCCCC(=O)C,30
chemical_014_1,CCCC(=O)CC,-10
chemical_014_2,CCCC(=O)CC,0
chemical_014_3,CCCC(=O)CC,10
chemical_014_4,CCCC(=O)CC,20
chemical_014_5,CCCC(=O)CC,30
chemical_015_1,CCCCC,-10
chemical_015_2,CCCCC,0
chemical_015_3,CCCCC,10
chemical_015_4,CCCCC,20
chemical_015_5,CCCCC,30
chemical_016_1,CCCCCC,-10
chemical_016_2,CCCCCC,0
chemical_016_3,CCCCCC,10
chemical_016_4,CCCCCC,20
chemical_016_5,CCCCCC,30
chemical_017_1,CCCCCCC,-10
chemical_017_2,CCCCCCC,0
chemical_017_3,CCCCCCC,10
chemical_017_4,CCCCCCC,20
chemical_017_5,CCCCCCC,30
chemical_018_1,CCCCCCCC,-10
chemical_018_2,CCCCCCCC,0
chemical_018_3,CCCCCCCC,10
chemical_018_4,CCCCCCCC,20
chemical_018_5,CCCCCCCC,30
chemical_019_1,C1=CC=CC=C1,-10
chemical_019_2,C1=CC=CC=C1,0
chemical_019_3,C1=CC=CC=C1,10
chemical_019_4,C1=CC=CC=C1,20
chemical_019_5,C1=CC=CC=C1,30
chemical_020_1,CC1=CC=CC=C1,-10
chemical_020_2,CC1=CC=CC=C1,0
chemical_020_3,CC1=CC=CC=C1,10
chemical_020_4,CC1=CC=CC=C1,20
chemical_020_5,CC1=CC=CC=C1,30
chemical_021_1,CC1=C(C)C=CC=C1,-10
chemical_021_2,CC1=C(C)C=CC=C1,0
chemical_021_3,CC1=C(C)C=CC=C1,10
chemical_021_4,CC1=C(C)C=CC=C1,20
chemical_021_5,CC1=C(C)C=CC=C1,30
chemical_022_1,CC1=CC(C)=CC=C1,-10
chemical_022_2,CC1=CC(C)=CC=C1,0
